original_img_path,processed_img_path,final_instruction,norm_brightness,norm_contrast,norm_temp
dataset/images/original/000000133233.jpg,dataset/images/processed/proc_000000133233.jpg,Could you just make it a touch brighter and a little cooler?,0.133333333,-0.2,-0.2
dataset/images/original/000000133233.jpg,dataset/images/processed/proc_000000133233.jpg,"Lighten it up a tiny bit and soften the colors, maybe cool it down.",0.133333333,-0.2,-0.2
dataset/images/original/000000133233.jpg,dataset/images/processed/proc_000000133233.jpg,"Increase the brightness subtly, reduce contrast slightly, and make it a bit cooler.",0.133333333,-0.2,-0.2
dataset/images/original/000000133233.jpg,dataset/images/processed/proc_000000133233.jpg,"Just a hair brighter, soften the edges a bit, and add a hint of blue.",0.133333333,-0.2,-0.2
dataset/images/original/000000133233.jpg,dataset/images/processed/proc_000000133233.jpg,"A tiny bit brighter, less punchy, and a touch colder.",0.133333333,-0.2,-0.2
dataset/images/original/000000133244.jpg,dataset/images/processed/proc_000000133244.jpg,"Make it much brighter and a little warmer, but keep the contrast soft.",0.866666667,-0.2,0.18
dataset/images/original/000000133244.jpg,dataset/images/processed/proc_000000133244.jpg,Could you lighten this up a lot? And give it a slight warm tint.,0.866666667,-0.2,0.18
dataset/images/original/000000133244.jpg,dataset/images/processed/proc_000000133244.jpg,"I want this image considerably brighter, a little warmer, and with slightly softer contrast.",0.866666667,-0.2,0.18
dataset/images/original/000000133244.jpg,dataset/images/processed/proc_000000133244.jpg,"Boost the brightness quite a bit, add a touch of warmth, and don't make it too harsh.",0.866666667,-0.2,0.18
dataset/images/original/000000133244.jpg,dataset/images/processed/proc_000000133244.jpg,"Really brighten it up, warm it slightly, and keep the contrast mild.",0.866666667,-0.2,0.18
dataset/images/original/000000133343.jpg,dataset/images/processed/proc_000000133343.jpg,"Brighten it up a bit, make it more vibrant, and give it a cool feel.",0.633333333,0.85,-0.18
dataset/images/original/000000133343.jpg,dataset/images/processed/proc_000000133343.jpg,"Could you make it brighter and add some pop? Also, make it a tiny bit cooler.",0.633333333,0.85,-0.18
dataset/images/original/000000133343.jpg,dataset/images/processed/proc_000000133343.jpg,"Increase the brightness and contrast noticeably, and cool down the tones a touch.",0.633333333,0.85,-0.18
dataset/images/original/000000133343.jpg,dataset/images/processed/proc_000000133343.jpg,"I'd like it brighter, with more definition, and a hint of coolness.",0.633333333,0.85,-0.18
dataset/images/original/000000133343.jpg,dataset/images/processed/proc_000000133343.jpg,"A good amount brighter, punchier, and subtly colder.",0.633333333,0.85,-0.18
dataset/images/original/000000133418.jpg,dataset/images/processed/proc_000000133418.jpg,"Darken it just a tad, make the details stand out more, and cool it slightly.",-0.133333333,0.55,-0.12
dataset/images/original/000000133418.jpg,dataset/images/processed/proc_000000133418.jpg,"A little darker please, but with more clarity and a hint of blue.",-0.133333333,0.55,-0.12
dataset/images/original/000000133418.jpg,dataset/images/processed/proc_000000133418.jpg,"Slightly reduce the brightness, enhance the contrast, and make it a little cooler.",-0.133333333,0.55,-0.12
dataset/images/original/000000133418.jpg,dataset/images/processed/proc_000000133418.jpg,"Just dim it a tiny bit, give it more punch, and a touch of a cool tone.",-0.133333333,0.55,-0.12
dataset/images/original/000000133418.jpg,dataset/images/processed/proc_000000133418.jpg,"A touch darker, more defined, and a subtle cool tint.",-0.133333333,0.55,-0.12
dataset/images/original/000000133567.jpg,dataset/images/processed/proc_000000133567.jpg,"Make it a bit brighter, much softer in contrast, and very cold/blue.",0.366666667,-1,-0.9
dataset/images/original/000000133567.jpg,dataset/images/processed/proc_000000133567.jpg,"Lighten it a little, really mute the contrast, and make it super cool-toned.",0.366666667,-1,-0.9
dataset/images/original/000000133567.jpg,dataset/images/processed/proc_000000133567.jpg,"I want this brighter, with significantly less contrast, and a very strong cool effect.",0.366666667,-1,-0.9
dataset/images/original/000000133567.jpg,dataset/images/processed/proc_000000133567.jpg,"Could you brighten it up a bit, take out a lot of the harshness, and make it feel very icy?",0.366666667,-1,-0.9
dataset/images/original/000000133567.jpg,dataset/images/processed/proc_000000133567.jpg,"A little brighter, really soften the look, and make it extremely blue/cool.",0.366666667,-1,-0.9
dataset/images/original/000000133631.jpg,dataset/images/processed/proc_000000133631.jpg,"Darken it a bit, soften the contrast slightly, and cool it down noticeably.",-0.333333333,-0.1,-0.44
dataset/images/original/000000133631.jpg,dataset/images/processed/proc_000000133631.jpg,"Make it a little darker and cooler, and just slightly less punchy.",-0.333333333,-0.1,-0.44
dataset/images/original/000000133631.jpg,dataset/images/processed/proc_000000133631.jpg,"Reduce brightness moderately, soften contrast subtly, and apply a moderate cool tone.",-0.333333333,-0.1,-0.44
dataset/images/original/000000133631.jpg,dataset/images/processed/proc_000000133631.jpg,"I'd like it dimmed somewhat, a little muted, and distinctly colder.",-0.333333333,-0.1,-0.44
dataset/images/original/000000133631.jpg,dataset/images/processed/proc_000000133631.jpg,"A bit darker, less intense, and clearly cooler.",-0.333333333,-0.1,-0.44
dataset/images/original/000000133645.jpg,dataset/images/processed/proc_000000133645.jpg,"Darken it a good amount, make it much softer, and very warm.",-0.466666667,-0.95,0.92
dataset/images/original/000000133645.jpg,dataset/images/processed/proc_000000133645.jpg,"Could you make it quite a bit darker, really reduce the contrast, and make it feel very sunny?",-0.466666667,-0.95,0.92
dataset/images/original/000000133645.jpg,dataset/images/processed/proc_000000133645.jpg,"I want this image moderately darker, significantly less contrasty, and with a strong warm glow.",-0.466666667,-0.95,0.92
dataset/images/original/000000133645.jpg,dataset/images/processed/proc_000000133645.jpg,"Dim it down quite a bit, soften the entire picture, and make it very golden.",-0.466666667,-0.95,0.92
dataset/images/original/000000133645.jpg,dataset/images/processed/proc_000000133645.jpg,"Darker, much flatter, and extremely warm-toned.",-0.466666667,-0.95,0.92
dataset/images/original/000000133778.jpg,dataset/images/processed/proc_000000133778.jpg,"Brighten it up noticeably, soften the contrast, and make it a bit cooler.",0.666666667,-0.55,-0.3
dataset/images/original/000000133778.jpg,dataset/images/processed/proc_000000133778.jpg,"Lighten it a good amount, make it less stark, and give it a cool cast.",0.666666667,-0.55,-0.3
dataset/images/original/000000133778.jpg,dataset/images/processed/proc_000000133778.jpg,"Increase brightness significantly, reduce contrast moderately, and cool down the temperature a fair bit.",0.666666667,-0.55,-0.3
dataset/images/original/000000133778.jpg,dataset/images/processed/proc_000000133778.jpg,"I'd like it brighter, with a softer look, and a noticeable cool tone.",0.666666667,-0.55,-0.3
dataset/images/original/000000133778.jpg,dataset/images/processed/proc_000000133778.jpg,"A good amount brighter, muted contrast, and moderately colder.",0.666666667,-0.55,-0.3
dataset/images/original/000000133819.jpg,dataset/images/processed/proc_000000133819.jpg,"Make it much darker, add some contrast, and make it extremely cool.",-0.7,0.75,-0.9
dataset/images/original/000000133819.jpg,dataset/images/processed/proc_000000133819.jpg,"Could you really dim this down, make the details pop, and give it a super cold feel?",-0.7,0.75,-0.9
