original_img_path,processed_img_path,label_brightness,label_contrast,label_temp,instruction
dataset/images/original/000000133233.jpg,dataset/images/processed/proc_000000133233.jpg,0.04,-0.04,-10,"['Could you just make it a touch brighter and a little cooler?', 'Lighten it up a tiny bit and soften the colors, maybe cool it down.', 'Increase the brightness subtly, reduce contrast slightly, and make it a bit cooler.', 'Just a hair brighter, soften the edges a bit, and add a hint of blue.', 'A tiny bit brighter, less punchy, and a touch colder.']"
dataset/images/original/000000133244.jpg,dataset/images/processed/proc_000000133244.jpg,0.26,-0.04,9,"['Make it much brighter and a little warmer, but keep the contrast soft.', 'Could you lighten this up a lot? And give it a slight warm tint.', 'I want this image considerably brighter, a little warmer, and with slightly softer contrast.', ""Boost the brightness quite a bit, add a touch of warmth, and don't make it too harsh."", 'Really brighten it up, warm it slightly, and keep the contrast mild.']"
dataset/images/original/000000133343.jpg,dataset/images/processed/proc_000000133343.jpg,0.19,0.17,-9,"['Brighten it up a bit, make it more vibrant, and give it a cool feel.', 'Could you make it brighter and add some pop? Also, make it a tiny bit cooler.', 'Increase the brightness and contrast noticeably, and cool down the tones a touch.', ""I'd like it brighter, with more definition, and a hint of coolness."", 'A good amount brighter, punchier, and subtly colder.']"
dataset/images/original/000000133418.jpg,dataset/images/processed/proc_000000133418.jpg,-0.04,0.11,-6,"['Darken it just a tad, make the details stand out more, and cool it slightly.', 'A little darker please, but with more clarity and a hint of blue.', 'Slightly reduce the brightness, enhance the contrast, and make it a little cooler.', 'Just dim it a tiny bit, give it more punch, and a touch of a cool tone.', 'A touch darker, more defined, and a subtle cool tint.']"
dataset/images/original/000000133567.jpg,dataset/images/processed/proc_000000133567.jpg,0.11,-0.2,-45,"['Make it a bit brighter, much softer in contrast, and very cold/blue.', 'Lighten it a little, really mute the contrast, and make it super cool-toned.', 'I want this brighter, with significantly less contrast, and a very strong cool effect.', 'Could you brighten it up a bit, take out a lot of the harshness, and make it feel very icy?', 'A little brighter, really soften the look, and make it extremely blue/cool.']"
dataset/images/original/000000133631.jpg,dataset/images/processed/proc_000000133631.jpg,-0.1,-0.02,-22,"['Darken it a bit, soften the contrast slightly, and cool it down noticeably.', 'Make it a little darker and cooler, and just slightly less punchy.', 'Reduce brightness moderately, soften contrast subtly, and apply a moderate cool tone.', ""I'd like it dimmed somewhat, a little muted, and distinctly colder."", 'A bit darker, less intense, and clearly cooler.']"
dataset/images/original/000000133645.jpg,dataset/images/processed/proc_000000133645.jpg,-0.14,-0.19,46,"['Darken it a good amount, make it much softer, and very warm.', 'Could you make it quite a bit darker, really reduce the contrast, and make it feel very sunny?', 'I want this image moderately darker, significantly less contrasty, and with a strong warm glow.', 'Dim it down quite a bit, soften the entire picture, and make it very golden.', 'Darker, much flatter, and extremely warm-toned.']"
dataset/images/original/000000133778.jpg,dataset/images/processed/proc_000000133778.jpg,0.2,-0.11,-15,"['Brighten it up noticeably, soften the contrast, and make it a bit cooler.', 'Lighten it a good amount, make it less stark, and give it a cool cast.', 'Increase brightness significantly, reduce contrast moderately, and cool down the temperature a fair bit.', ""I'd like it brighter, with a softer look, and a noticeable cool tone."", 'A good amount brighter, muted contrast, and moderately colder.']"
dataset/images/original/000000133819.jpg,dataset/images/processed/proc_000000133819.jpg,-0.21,0.15,-45,"['Make it much darker, add some contrast, and make it extremely cool.', 'Could you really dim this down, make the details pop, and give it a super cold feel?', 'I want this image significantly darker, with more defined contrast, and a very strong blue tint.', 'Darken it quite a bit, make it punchier, and very icy cold.', 'Really dark, more dramatic, and intensely cool-toned.']"
dataset/images/original/000000133969.jpg,dataset/images/processed/proc_000000133969.jpg,-0.25,-0.07,49,"['Make it much darker, soften the contrast, and make it very warm.', 'Could you really dim it down, make it a bit less harsh, and add a lot of warmth?', 'I want this image considerably darker, with moderately reduced contrast, and a very strong warm tone.', 'Darken it a lot, smooth out the details, and make it intensely golden/warm.', 'Super dark, softer contrast, and exceptionally warm.']"
dataset/images/original/000000134034.jpg,dataset/images/processed/proc_000000134034.jpg,0.18,-0.07,-45,"['Could you make it a lot brighter and cooler?', 'I want this picture to feel crisp, bright, and a bit icy.', 'Brighten it up significantly and give it a cool, slightly desaturated feel.', 'Lighten the image and shift the colors towards a colder tone.', 'Make it really bright, slightly soften the contrast, and cool down the colors.']"
dataset/images/original/000000134096.jpg,dataset/images/processed/proc_000000134096.jpg,-0.08,0.04,4,"['Just a touch darker, please, and maybe a little more pop.', 'Dim the lights a bit and make it a tiny bit more defined.', 'Can you reduce the brightness slightly and add a hint of contrast?', ""I'd like it a little less bright, but with a bit more depth."", 'Make it a touch darker with a subtle increase in contrast.']"
dataset/images/original/000000134112.jpg,dataset/images/processed/proc_000000134112.jpg,0.1,0.18,43,"['Make it brighter, really pop with contrast, and feel much warmer.', 'I want this image to be vibrant, high contrast, and have a sunny glow.', 'Brighten it up, make the colors stand out, and add a lot of warmth.', 'Give it a sunny, high-impact look with good brightness and deep colors.', 'Increase the brightness, boost the contrast dramatically, and warm it up significantly.']"
dataset/images/original/000000134322.jpg,dataset/images/processed/proc_000000134322.jpg,0.22,-0.04,10,"['Make it super bright, almost ethereal, with a touch of warmth.', 'I want it much lighter, with a slightly softer edge, and just a hint warmer.', 'Can you really brighten this image, soften the contrast slightly, and warm it up a little?', 'Give it a very airy and luminous feel, with a subtle increase in warmth.', 'Lighten it a lot, just a touch less contrast, and make it marginally warmer.']"
dataset/images/original/000000134689.jpg,dataset/images/processed/proc_000000134689.jpg,0.17,-0.05,47,"['Make it brighter and much warmer, almost like a golden hour shot.', ""I'd like it to feel really bright and cozy, with a very warm glow."", 'Brighten the scene, soften the harshness, and infuse it with significant warmth.', 'Give it a luminous, gentle, and very warm aesthetic.', 'Increase the brightness, slightly dial back the contrast, and add a lot of warmth.']"
dataset/images/original/000000134722.jpg,dataset/images/processed/proc_000000134722.jpg,-0.09,-0.17,33,"['Make it a bit darker, much softer, and give it a vintage warm look.', ""I'd like a muted, slightly darker image with a warm, desaturated feel."", 'Reduce the brightness, significantly soften the contrast, and add a good amount of warmth.', 'Create a darker, low-contrast image with a warm, classic touch.', 'Dim the photo, make it much less punchy, and give it a cozy, warm tint.']"
dataset/images/original/000000134856.jpg,dataset/images/processed/proc_000000134856.jpg,-0.13,-0.06,-16,"['Darken the image, soften it a little, and give it a cooler tone.', 'I want it to feel a bit moody and subdued, with a slightly blue cast.', 'Reduce the brightness, slightly decrease the contrast, and cool down the colors.', 'Make it darker and a bit softer, with a subtle shift to a colder palette.', 'Dim the scene, take off a little edge, and make the colors a touch colder.']"
dataset/images/original/000000134882.jpg,dataset/images/processed/proc_000000134882.jpg,0.23,0.04,-2,"['Make this photo incredibly bright, but keep the colors natural.', 'I want a very luminous image with just a tiny bit more pop, no color shift.', 'Brighten it almost to the max, add a touch of contrast, and keep the white balance as is.', 'Give it a super bright, crisp look without changing the color temperature.', 'Lighten it significantly and give it a subtle boost in definition.']"
dataset/images/original/000000134886.jpg,dataset/images/processed/proc_000000134886.jpg,0.04,0.02,-35,"['Make it a little brighter and much cooler, like a winter morning.', 'Just a touch lighter and give it a really crisp, cold blue feel.', 'Slightly brighten the image and shift the colors dramatically towards blue.', ""I'd like it to feel a bit more exposed and significantly colder."", 'Increase brightness slightly and give it a strong cool, almost icy, tone.']"
dataset/images/original/000000135410.jpg,dataset/images/processed/proc_000000135410.jpg,0.14,-0.03,32,"['Brighten it up and make it quite a bit warmer, like a cozy evening.', 'I want it brighter and infused with a good amount of warmth.', 'Increase the brightness and give it a noticeably warmer, soft glow.', 'Make it lighter and add a strong warm filter.', 'Brighten the image, slightly reduce harshness, and make it significantly warmer.']"
dataset/images/original/000000135561.jpg,dataset/images/processed/proc_000000135561.jpg,0.23,0.05,-13,"['Could you make this image a bit brighter and cooler?', ""Let's add some brightness and cool down the tones a little."", 'Increase the overall light and give it a slight cool tint.', 'Brighten it up and add a touch of coolness, maybe a bit more contrast too.', ""I'd like it brighter with a subtle cool shift and a slight boost in definition.""]"
dataset/images/original/000000135604.jpg,dataset/images/processed/proc_000000135604.jpg,0.01,0.01,-37,"['Make it much cooler, please.', 'Can we add a strong cool tone to this photo?', 'Give this image a distinctly blueish tint.', 'I want to make the colors much colder.', 'Drastically cool down the temperature of the image.']"
dataset/images/original/000000135670.jpg,dataset/images/processed/proc_000000135670.jpg,0.13,0.17,-3,"['Can you make the image pop more and brighten it?', ""Let's boost the brightness and really bring out the details."", 'Increase the light and add some definition, please.', 'I want it brighter with a bit more punch.', 'Enhance the brightness and make the image sharper with increased contrast.']"
dataset/images/original/000000135673.jpg,dataset/images/processed/proc_000000135673.jpg,0.05,0,3,"['Just a tiny bit brighter, please.', 'Can you lighten it ever so slightly?', 'A subtle increase in brightness would be good.', 'Just a touch more light, nothing else.', 'Give it a slight lift in exposure.']"
dataset/images/original/000000135872.jpg,dataset/images/processed/proc_000000135872.jpg,0.28,0.13,-26,"['Make it much brighter and cooler, with more pop.', 'Can we brighten this up a lot and give it a strong cool cast?', ""I'd like a significantly brighter image, a cooler tone, and better definition."", 'Give it a big boost in light and a noticeable cool blue tint.', ""Let's make this image considerably brighter, more vivid, and cooler.""]"
dataset/images/original/000000135890.jpg,dataset/images/processed/proc_000000135890.jpg,-0.18,0.19,9,"['Can you make it a bit darker but with more contrast?', 'I want to deepen the shadows and make the image more dramatic, maybe a touch warmer.', ""Let's bring down the brightness and increase the contrast significantly."", 'Give it a moodier feel by reducing the light and enhancing definition.', 'Darken the photo and give it more punch, with a slight warmth.']"
dataset/images/original/000000135902.jpg,dataset/images/processed/proc_000000135902.jpg,0.06,0.01,4,"['Just a little brighter and slightly warmer, please.', 'Can you add a touch of light and a hint of warmth?', 'A subtle lift in brightness and a very slight warm tone.', 'Lighten it just a smidgen and add a tiny bit of warmth.', 'Give it a very gentle brightening and a soft warm glow.']"
dataset/images/original/000000136033.jpg,dataset/images/processed/proc_000000136033.jpg,0.24,-0.16,-7,"['Make it much brighter and a bit softer.', 'I want to brighten it considerably and reduce the harshness of the contrast.', ""Let's boost the light and soften the overall look of the image."", 'Give it a bright, airy feel with less contrast.', 'Significantly brighten the photo and dial down the contrast for a softer look.']"
dataset/images/original/000000136334.jpg,dataset/images/processed/proc_000000136334.jpg,0.03,0.15,-24,"['Make the image much cooler and more contrasty.', 'Can you give this a strong cool tint and more pop?', ""I'd like the colors to be noticeably colder and the details to stand out more."", 'Increase the contrast and apply a distinct cool tone.', 'Give it a very cool look with enhanced definition.']"
dataset/images/original/000000136355.jpg,dataset/images/processed/proc_000000136355.jpg,0.2,-0.01,-31,"['Brighten it up and make it very cool, please.', 'I want this image to be notably brighter and have a strong blue cast.', 'Can you increase the brightness and cool the temperature significantly?', 'Give it a much brighter look with a distinct cold feel.', ""Let's make it brighter and very noticeably cooler.""]"
dataset/images/original/000000136466.jpg,dataset/images/processed/proc_000000136466.jpg,0.06,0.09,-19,"['Can you make it a bit brighter and cooler?', 'Add some pop to the colors and cool down the image slightly.', 'Give it a subtle boost in brightness and make the blues stand out.', 'A touch brighter, a bit more defined, and a cooler feel, please.', 'Increase the brightness and contrast slightly, and shift the temperature to be cooler.']"
dataset/images/original/000000136600.jpg,dataset/images/processed/proc_000000136600.jpg,0.3,-0.19,16,"['Make it much brighter and softer, with a slight warm tone.', 'Brighten it significantly, reduce the harshness, and add a little warmth.', 'Can we lighten this up a lot and soften the overall look, making it a bit warmer?', 'Boost the brightness considerably, decrease contrast for a flatter look, and warm up the colors.', 'I need this image to be very bright, less contrasty, and a tad warmer.']"
dataset/images/original/000000136633.jpg,dataset/images/processed/proc_000000136633.jpg,0.18,0.02,-34,"['Brighten it up a good amount and make it noticeably cooler.', 'Give it a brighter, icy blue look.', 'Can you lighten it and make the white balance much cooler?', 'I want this image to feel much brighter and have a strong cool tint.', 'Boost the brightness and give it a starker, colder tone.']"
dataset/images/original/000000136715.jpg,dataset/images/processed/proc_000000136715.jpg,0.26,0.13,43,"['Make it very bright, vibrant, and quite warm.', 'I need this image to pop with brightness and have a strong golden glow.', 'Can you really brighten this, add more contrast, and make the colors much warmer?', 'Give it a very sunny, energetic feel with increased brightness and contrast.', 'Boost the light and saturation, and really warm up the overall temperature.']"
dataset/images/original/000000136772.jpg,dataset/images/processed/proc_000000136772.jpg,-0.28,-0.1,27,"['Darken it significantly, soften the contrast, and make it a bit warmer.', 'I want a much darker, less punchy, and warmer aesthetic.', 'Reduce the brightness a lot, flatten the image somewhat, and add some warmth.', 'Give it a moody, darker look with slightly muted tones and a warm cast.', 'Make the image considerably darker, soften the definition, and warm up the colors.']"
dataset/images/original/000000136915.jpg,dataset/images/processed/proc_000000136915.jpg,-0.28,0.12,-47,"['Make it considerably darker, punchier, and very cold.', 'I need a dramatic, darker look with strong contrasts and a deep blue tone.', 'Darken this a lot, increase the definition, and make the white balance extremely cool.', 'Give it a very dark, high-contrast, and deeply cool aesthetic.', 'Reduce the brightness, enhance the contrast, and make the colors very cold.']"
