original_img_path,processed_img_path,instruction,label_brightness,label_contrast,label_temp
dataset/images/img_0_orig.jpg,dataset/images/img_0_proc.jpg,Make the image look warmer and brighter version 0,0.6731487146172828,0.7586556598404772,0.1149784702743567
dataset/images/img_1_orig.jpg,dataset/images/img_1_proc.jpg,Make the image look warmer and brighter version 1,0.24318718625338065,0.5780397529880666,0.9065688559561209
dataset/images/img_2_orig.jpg,dataset/images/img_2_proc.jpg,Make the image look warmer and brighter version 2,0.5173173536892419,0.3786791320444197,0.03647055411570976
dataset/images/img_3_orig.jpg,dataset/images/img_3_proc.jpg,Make the image look warmer and brighter version 3,0.4595662671749149,0.22517139069080494,0.38143242776352826
dataset/images/img_4_orig.jpg,dataset/images/img_4_proc.jpg,Make the image look warmer and brighter version 4,0.9889573115407674,0.36823188250848604,0.10956241007197276
dataset/images/img_5_orig.jpg,dataset/images/img_5_proc.jpg,Make the image look warmer and brighter version 5,0.43931405068311935,0.955208473564332,0.3997731382024162
dataset/images/img_6_orig.jpg,dataset/images/img_6_proc.jpg,Make the image look warmer and brighter version 6,0.234312468590538,0.7565750213953838,0.11442146505386064
dataset/images/img_7_orig.jpg,dataset/images/img_7_proc.jpg,Make the image look warmer and brighter version 7,0.3105175621838989,0.3299529611371227,0.11162819741988905
dataset/images/img_8_orig.jpg,dataset/images/img_8_proc.jpg,Make the image look warmer and brighter version 8,0.9922906992146047,0.9376896796845929,0.8734068692663292
dataset/images/img_9_orig.jpg,dataset/images/img_9_proc.jpg,Make the image look warmer and brighter version 9,0.27457134191986565,0.7279777660174259,0.19664813235223766
